id,name,shop,type,handed,price,weapon_bonus,defend_bonus,impact,requirement,entry,effect,other,description
weapon_010012,法杖,0,法杖,2,无,法术强度+1/+1,防御+0/+0,敏捷-1,智慧1;魔力2;通灵1,无,【魔力弹】,无,一柄苍老的法杖，双手持握着咏唱时，能从魔力的流动中似有似无地听到它和蔼的安抚
weapon_010013,牧杖,0,牧杖,2,无,法术强度+0/+0,防御+0/+0,敏捷-1,魔力2;通灵1,无,【微光】,无,一柄散发着温暖光芒的牧杖，光是靠近就能感受到光明之神的慈爱
weapon_010014,圣枝,0,圣器,1,无,法术强度+0/+0,防御+0/+0,通灵+1,魔力1;通灵2,无,【治愈】,无,一根萦绕着绿色微光的圣树树枝，它无时无刻，毫无保留地向这个世界泵动着生命的能量，
weapon_010015,宝石手链,0,手链,1,无,法术强度+0/+0,防御+0/+0,无,智慧1;魔力1;通灵1,[便携],【召唤宝石兽】,无,一条精心打造的华丽手链，能与宝石中的力量共鸣，塑造出符合主人心意的宝石兽
weapon_010016,魔导书,0,魔导书,1,无,咏唱时间-1,防御+0/+0,无,智慧2;魔力1,[魔导书],【魔力弹】,无,一本陈旧的魔法书，将魔法记录其中，便能随心所欲地使用，但篇幅有限，这里不再赘述
weapon_010017,木弓,1,弓,2,30G,射击+1/+1,防御+0/+1,无,力量2;敏捷1,[弓射],无,无,优质木料做成的短弓，轻巧且耐用，尽管威力不大，但想拉动弓弦仍然需要一定的力量，装备时，将攻击替换为射击，每次射击消耗箭矢类道具x1，并造成远程伤害，在战斗结束时，可以收回消耗的箭矢.若箭矢耗尽，则射击替换回攻击，将使用弓身造成近战伤害
weapon_010018,铜剑,1,剑,1,40G,攻击+0/+2,防御+0/+2,无,无,无,无,无,铜制的双刃单手剑，强度略低但已经能算一把武器了，更重，但也更适合初学者使用
weapon_010019,砍刀,1,刀,1,30G,攻击+1/+1,防御+0/+2,无,无,无,无,无,一种简单易用的刀具，很难说它是工具还是武器，用法狂野——砍就完事了
weapon_010020,铜锤,1,短柄锤,2,35G,攻击+1/+2,防御+0/+2,敏捷-2,力量2,无,无,无,做工粗糙的铜制短柄锤，十分沉重，力量不够的人难以挥舞，但是性能也因此更强，很适合用于砸碎你的敌人
weapon_010021,铜头棍,1,长棍,2,30G,攻击+1/+1,防御+0/+2,无,力量1;耐力1,无,无,无,铜头的长棍，算不上是多么强劲的武器，但是用处很广，根据用法的不同，效果也多种多样
weapon_010022,皮盾,1,小圆盾,1,30G,攻击+0/+0,防御+2/+0,无,无,无,无,无,厚皮革制成的单手小圆盾，轻巧而易用，可以防御住一些伤害
weapon_010023,铜匕首,1,匕首,1,20G,攻击+1/+0,防御+0/+1,无,敏捷3,[隐秘],无,无,以刺击为主要攻击手段的铜制短匕首，各方面的性能都算不上多强，但胜在隐秘，使用时，需要一定的灵敏
weapon_010024,铜指虎,1,拳套,2,15G,攻击+0/+1,防御+0/+1,无,无,[指虎],无,无,两只一套的拳套，武器性能对得起这个价格，但是攻击距离很近，防御性能很差
weapon_010025,投石索,1,投弹,1,5G,攻击+0/+1,防御+0/+0,无,智力2;巧手1,[便携],【投掷】,无,一种简陋的远程武器，装备时获得【投掷】战技，可以从地上捡起石子或者装入道具作为弹药并通过【投掷】发射，造成远程伤害，其小巧请便，可以与绝大部分武器同时装备，但无法同时使用
weapon_010026,弹弓,1,弹弓,2,10G,攻击+0/+0,防御+0/+0,无,巧手1,[弹射],无,无,使用特殊的工艺制成的，小巧轻便并且极易使用的远程武器，但是威力很弱小，只能发射一部分特定的弹丸类的弹药，装备时，将攻击替换为射击，每次射击消耗指定的弹药类道具x1，造成远程伤害，该武器造成的伤害不受除弹药效果以外任何加成影响
weapon_010027,铁剑,1,剑,1,75G,攻击+0/+3,防御+0/+3,无,无,无,无,无,尖锐而锋利的铁剑，强度已经能满足大部分战斗的需要，重量更轻，也更适合实战
weapon_010028,铁打刀,1,打刀,1,70G,攻击+1/+2,防御+0/+3,无,巧手1,无,无,无,铁制的打刀，轻巧而锋利，弯曲的刀身易于拔出，但比普通的单手剑更长，使用时需要一定的技巧，擅长连续不断的战技猛攻
weapon_010029,铁双刀,1,双刀,2,65G,攻击+3/+0,防御+0/+3,无,敏捷2;巧手1,[隐秘],无,无,铁制的短双刀，单刃的锋利短刀身与恰到好处的重量平衡使其成为杀伤力极强的隐秘武器，但使用难度颇高，需要相当的敏捷性
weapon_010030,铁斧,1,斧,2,60G,攻击+1/+2,防御+0/+3,无,力量1,[伐木],无,无,铁制的单刃斧，为了武器性能牺牲了一定的伐木能力，但仍然很好用
weapon_010031,铁大剑,1,大剑,2,80G,攻击+0/+6,防御+0/+4,敏捷-4,力量3;体质2,无,无,无,沉重的铁制大剑，性能优异，但是需要相当程度的力量与体质才能挥动，即使只是背在身上，也会大幅降低敏捷性
weapon_010032,铁刺剑,1,刺剑,1,70G,攻击+2/+1,防御+0/+3,无,敏捷2;耐力1,无,无,无,精准而优雅的铁制刺剑，擅长精确地打击敌人的弱点，但是使用时需要一定的敏捷性，是一种对战技依赖很大的武器
weapon_010033,铁大锤,1,长柄锤,2,70G,攻击+2/+3,防御+0/+3,敏捷-4,力量2;耐力1,无,无,无,有着巨大锤头的长柄锤，挥舞起来十分耗劲，但是武器性能一如既往地出众，尽管会降低敏捷能力，但是在绝对的力量面前，这些都不值一提
weapon_010034,铁头矛,1,长矛,2,60G,攻击+1/+2,防御+0/+2,敏捷-1,力量2;耐力1,无,无,无,有着尖锐铁头的长矛，沉重且坚硬，使用起来并不方便，但是搭配战技会有出众的效果，灵活性比较差，防御性能受此影响
weapon_010035,铁长枪,1,长枪,2,70G,攻击+2/+1,防御+0/+3,无,巧手1;力量1;耐力1,无,无,无,有着尖锐铁头的长枪，枪身使用了轻而柔韧的木料制成，灵活的同时需要一定的技术来使用，擅长使用灵活多变的战技形成连击
weapon_010036,铁匕首,1,匕首,1,40G,攻击+2/+0,防御+0/+2,无,敏捷3,[隐秘],无,无,使用了更加轻巧且锋利的铁制成的短匕首，性能方面仍然不如平常的武器，但是也保留了隐秘的特性，对使用者的敏捷有一定的要求
weapon_010037,铁刺拳套,1,拳套,2,70G,攻击+1/+3,防御+0/+1,无,敏捷2,无,无,无,拳身上铸有铁刺的杀伤性武器，十分凶残，但是相当依赖于近身战斗，防御性能很差，如果使用者不够灵敏还会伤到自己
weapon_010038,铁拐棍,1,拐棍,2,65G,攻击+2/+1,防御+1/+3,无,敏捷1;巧手1;,无,无,无,一种比较特殊的斗器，使用时常搭配灵巧的攻击手法，攻击距离不似普通的格斗武器一般靠近，加之其本身擅长近战防御，所以防御性能优秀，但作为代价，武器性能略为平庸
weapon_010039,铁镐,1,镐,2,45G,攻击-5/+7,防御+0/+3,无,力量2,[采矿],无,无,精铁打造的可靠的镐，崭新的镐锋等待着敲碎任何阻挡在你面前的物体，挥舞这样一柄铁镐需要一定力量，但除此以外并没有什么要求，不过，作为一把武器来说，实在是有些不好用
weapon_010040,铁弩,1,弩,2,65G,"射击+3/+5;
攻击-1/-1",防御+0/+1,无,巧手2;敏捷2,[弩射][装填1],【装填弹药】,无,通过机巧发射高威力的箭矢，操作复杂，但是能以常人之力造成破坏力惊人的远程伤害，该伤害不受使用者的影响，这既可以说是优点也可以说是缺点，装备时获得【装填弹药】战技，每次使用最多装填1根箭矢类道具，随后可以通过射击与战技将其发射以造成伤害，其小巧轻便，可以与绝大部分武器同时装备，但很难同时使用
weapon_010041,铁弓,1,弓,2,55G,"射击+1/+1;
攻击+0/+2",防御+0/+1,无,力量4;敏捷1,[弓射],无,无,铁质的弓，弓身硬且沉重，弓弦极其坚韧，想要拉动这样一把弓需要十足的力量.装备时，将攻击替换为射击，每次射击消耗箭矢类道具x1，并造成远程伤害，在战斗结束时，可以收回消耗的箭矢.若箭矢耗尽，则射击替换回攻击，将使用弓身造成近战伤害
weapon_010042,铁圆盾,1,小圆盾,1,60G,攻击+0/+0,防御+4/+0,无,力量2,无,无,无,铁制的单手小圆盾，防御性能更上一步，但是变得有些沉重，需要力量支撑，不过，强度上升使其也可以作为钝器，被一部分战技所使用
weapon_030017,白石法杖,1,法杖,2,70G,法术强度+1/+1,防御+0/+1,敏捷-1,魔力2;智力1,无,无,无,通体由纯白色的魔法岩石雕刻而成的长柄法杖，杖顶镶嵌有一枚无色的法力水晶，是初学者级别的施法媒介
weapon_030018,白花手链,1,手链,1,30G,法术强度+1/+0,防御+0/+0,无,魔力1;通灵1,[便携],【灵之花】,无,由白色的灵之花编制成手链，携带者能够接触到灵力，并提高施法强度，其也能作为媒介，释放与灵有关的法术，但每次释放都需要消耗【灵之花】层数
weapon_030019,铁大太刀,1,,,,,,,,,,,
